duration,event_id,memory_spike_kb,record,source,time,timestamp,type
,,,"{'requestId': '67cf50eb-f0af-4b46-845e-9bd5267151ad', 'metrics': {'durationMs': 1.457, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'fa4f451d289b2556', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef85-2ff5a40c2c4eadaf27bb39d5;Parent=2fad90dfc9b0ce33;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:05.253Z,,platform.report
,,,"{'requestId': '12c55e57-69e9-4e90-94c1-e0f33a80f8be', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'e0a082e4478b09be', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef86-6fdaecaa36cac09f00d22f14;Parent=127055d1bbb41ea9;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:06.742Z,,platform.start
,,,"{'requestId': '12c55e57-69e9-4e90-94c1-e0f33a80f8be', 'metrics': {'durationMs': 1.198, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'e0a082e4478b09be', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef86-6fdaecaa36cac09f00d22f14;Parent=127055d1bbb41ea9;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:06.744Z,,platform.report
,,,"{'requestId': 'fb15b761-750f-492c-8272-edf6882008fd', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '1c3fe17091437c44', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef87-22ef26f67d3001b8335fbfbd;Parent=1832c3505846bdbd;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:07.429Z,,platform.start
,,,"{'requestId': 'fb15b761-750f-492c-8272-edf6882008fd', 'metrics': {'durationMs': 1.378, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '1c3fe17091437c44', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef87-22ef26f67d3001b8335fbfbd;Parent=1832c3505846bdbd;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:07.431Z,,platform.report
,,,"{'requestId': 'cc4cd669-f124-44d7-bc68-bc846c253b2b', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'ff1ec873f6d77e44', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef88-6485fabd37b9ca19782eb970;Parent=4488e2ff1fc3f81e;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:08.193Z,,platform.start
,,,"{'requestId': 'cc4cd669-f124-44d7-bc68-bc846c253b2b', 'metrics': {'durationMs': 1.599, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'ff1ec873f6d77e44', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef88-6485fabd37b9ca19782eb970;Parent=4488e2ff1fc3f81e;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:08.196Z,,platform.report
,,,"{'requestId': 'f355aec3-629c-48d8-8a39-c4c9bb5fd411', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '71d544612fc433e0', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef88-3b2f4fc6191a25417fc98fa7;Parent=52112503636e2662;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:08.866Z,,platform.start
,,,"{'requestId': 'f355aec3-629c-48d8-8a39-c4c9bb5fd411', 'metrics': {'durationMs': 1.287, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': '71d544612fc433e0', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef88-3b2f4fc6191a25417fc98fa7;Parent=52112503636e2662;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:08.867Z,,platform.report
,,,"{'requestId': '35513b1d-be0e-45a3-82a1-9e13d986e8d3', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': 'ad36996ca5e1c945', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef89-3651ffa45875f0a308293300;Parent=23a54223234c7b69;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:09.572Z,,platform.start
,,,"{'requestId': '35513b1d-be0e-45a3-82a1-9e13d986e8d3', 'metrics': {'durationMs': 1.213, 'billedDurationMs': 2, 'memorySizeMB': 128, 'maxMemoryUsedMB': 34}, 'tracing': {'spanId': 'ad36996ca5e1c945', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef89-3651ffa45875f0a308293300;Parent=23a54223234c7b69;Sampled=1;Lineage=1:5b487513:0'}, 'status': 'success'}",,2025-08-04T17:36:09.574Z,,platform.report
,,,"{'requestId': 'a677db55-db8a-4542-9162-a6813e7534e9', 'functionArn': 'arn:aws:lambda:eu-west-2:714377356052:function:scafad-test-stack-HelloWorldFunction-k79tX3iBcK74', 'version': '$LATEST', 'tracing': {'spanId': '9714e80d0c8b4a7c', 'type': 'X-Amzn-Trace-Id', 'value': 'Root=1-6890ef8a-656693e03dd977c368759da9;Parent=65ab43a8ef7609ac;Sampled=1;Lineage=1:5b487513:0'}}",,2025-08-04T17:36:10.223Z,,platform.start
